certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"ABE BAK","OWNER",16,1,"CA","LEISURE GLEN POST ACUTE CARE CENTRE; BALDWIN GARDENS NURSING CENTER; ADVANCED REHAB CENTER OF TUSTIN; TORRANCE POST-ACUTE; IMPERIAL HEALTHCARE CENTER","Regional Chain or Consultant"
"JOEL FLUIT","VP OF FINANCE",16,2,"CO;NE","GOOD SAMARITAN SOC - FT COLLINS VILL; GOOD SAMARITAN SOCIETY ST. JOHN; GSS-HASTINGS VILLAGE; GOOD SAMARITAN CENTER SYRACUSE; GOOD SAMARITAN SOCIETY BLOOMFIELD","Regional Chain or Consultant"
"DAVID EPPERS","CFO",16,2,"KY;OH","HIGHLANDSPRING OF FT THOMAS; VILLASPRING HEALTH CARE; COLDSPRING TRANSITIONAL CARE CENTER; BOONESPRING TRANSITIONAL CARE CENTER; EASTGATE HEALTH CARE CENTER","Regional Chain or Consultant"
"GRADY FOLGER","CONTROLLER",16,1,"NC","ELIZABETH CITY HEALTH & REHABILITATI; CAROLINA CARE HEALTH AND REHABILITAT; VILLAGE GREEN HEALTH AND REHAB; WILKESBORO HEALTH & REHABILITATION; COLLEGE PINES HEALTH & REHABILITATIO","Regional Chain or Consultant"
"RICHARD CHUMLEY","PRESIDENT OF THE BOARD",16,1,"TX","HEARTHSTONE SN HEALTH CENTER; WESTERN HILLS NURSING AND REHABILITA; HERITAGE HEALTHCARE RESIDENCE; STONEBRIDGE SN HEALTH CENTER; REGENCY HOUSE","Regional Chain or Consultant"
"ROBERT DALTON","CFO",16,1,"VA","LIFE CARE CORP DBA HH BROOKNEAL; LIFE CARE CORP DBA HH GRUNDY; AMER HC X LLC DBA HH LEESBURG; AMER HC X LLC DBA HH KING GEORGE; AMER HC X LLC DBA HH DILLWYN","Regional Chain or Consultant"
"KIMBERLY DELATTE","CFO",16,1,"LA","JEFFERSON HEALTHCARE CENTER LLC; STERLING DBA CENTRAL GUEST HOUSE; PMC DBA STERLING PLACE HEALTH & REHA; HARVEST MANOR HEALTHCARE & REHABILIT; GOLDEN AGE HEALTHCARE & REHABILITATI","Regional Chain or Consultant"
"PAUL VINKLE","VP OF FINANCE",16,3,"NY;RI;VT","ELDERWOOD AT AMHERST; ELDERWOOD OF UIHLEIN AT LAKE PLACID; ELDERWOOD AT WILLIAMSVILLE; ELDERWOOD AT WAVERLY; ELDERWOOD AT GRAND ISLAND","Regional Chain or Consultant"
"SCOTT PEABODY","VP FINANCE",15,2,"CO;FL","DESTINATION HEALTH AND REHABILITATIO; COMMUNITY HEALTH AND REHAB CENTER; DELAND SENIOR CARE LLC; CENTRE POINT HEALTH & REHAB CENTER; DOLPHIN POINTE HEALTH CARE","Regional Chain or Consultant"
"ALAN SORSCHER","CFO",15,1,"IL","THE PEARL OF ELGIN; THE PEARL OF ST. CHARLES; THE PEARL OF NAPERVILLE; THE PEARL OF HINSDALE; THE PEARL OF ELGIN","Regional Chain or Consultant"
"JORDAN LOPEZ","CONTROLLER",15,7,"CA;CO;ID;MT;ND;SD;UT","AURORA NURSING AND REHAB CENTER  LLC; HELENA NURSING AND REHAB CENTER  LLC; FARGO NURSING AND REHAB CENTER  LLC; ABERDEEN NURSING AND REHAB CENTER LL; STOCKTON NURSING AND REHAB CENTER","Regional Chain or Consultant"
"BRIAN FINGLASS","VICE PRESIDENT OF FINANCE",15,1,"MD","FCOC LLC; COURTLAND LLC; 1046 NORTHPOINT LLC; CANTON HARBOR HEATLH CARE CTR; CHESAPEAKE MANOR EXT CARE CTR","Regional Chain or Consultant"
"SAMUEL SHERMAN","MANAGING MEMBER",15,1,"OH","CONCORD CARE CENTER OF CORTLAND; EDGEWOOD MANOR OF GREENFIELD; EDGEWOOD MANOR OF LUCASVILLE I; KENTON NURSING & REHABILITATION; CONCORD CARE AND REHAB CENTER","Regional Chain or Consultant"
"MAYER FISCHL","CFO",15,1,"KY","THE GRANDVIEW; THE TERRACE NURSING & REHABILITATION; LETCHER MANOR; MAYSVILLE NURSING & REHABILITATION; SOMERSET NURSING & REHABILITATION","Regional Chain or Consultant"
"DAWNE SMITH","CEO",15,2,"LA;TX","RAYVILLE NURSING & REHAB CENTER; CONCORDIA HOUSE NURSING HOME  DBA CA; PRINCETON PLACE-RUSTON; CLAIBORNE REHABILITATION; HILLVIEW DBA LEGRAND","Regional Chain or Consultant"
"EPHRAIM FINK","VP OF FINANCE",15,3,"NJ;TN;WI","MANAHAWKIN HEALTH AND REHAB; RIVERSIDE HEALTH AND REHAB; THE BAY AT DYERSBURG; ST ANN HEALTH AND REHAB; NU ROC HEALTH AND REHAB","Regional Chain or Consultant"
"ANTHONY SHAW","VP OF REIMBURSEMENT",15,1,"OH","WAPAKONETA MANOR; THE MANOR AT GREENDALE; BRIARWOOD VILLAGE; SHAWNEE MANOR; CELINA MANOR","Regional Chain or Consultant"
"JACK SANDERS","CHIEF OPERATING OFFICER",15,2,"LA;TX","ST. FRANCES NURSING & REHABILITATION; OUR LADY OF PROMPT SUCCOR NH; ROSEPINE RETIREMENT & REHAB CENTER; COLONIAL NURSING & REHAB CENTER; LAKEVIEW MANOR NURSING & REHAB CNTR","Regional Chain or Consultant"
"YOSEF LEWIN","CFO",15,3,"MD;NJ;SC","MONTCARE AT WHEATON; MONTCARE AT BETHESDA; MONTCARE AT POTOMAC; MONTGOMERY VILLAGE CARE CTR; LAKELAND HEALTHCARE CENTER","Regional Chain or Consultant"
"MICHAEL NUDELL","PRESIDENT",15,1,"IL","ALLURE OF LAKE STOREY; ALLURE OF STERLING; ALLURE OF MOLINE; ALLURE OF KNOX COUNTY; ALLURE OF MENDOTA","Regional Chain or Consultant"
"CHAIM WOLMARK","CEO",15,3,"ID;OR;WA","PULLMAN CARE; OTHELLO NURSING & REHAB; WILLAPA HARBOR CARE; COLUMBIA RIVER CARE; PUGET SOUND HEALTHCARE CENTER","Regional Chain or Consultant"
"KARA COX","CFO",15,1,"TX","HICO NURSING & REHABILITATION; REGENT CARE CENTER OF WOODWAY; CORYELL COUNTY MEMORIAL HOSPITAL AUT; QUALITY CARE OF WACO; WESLEY WOODS HEALTH & REHABILITATION","Regional Chain or Consultant"
"SCOTT PETTERSON","CFO",15,1,"CA","GRIFFITH PARK REHABILITATION CENTER; ORINDA CARE CENTER  LLC; LAKE MERRITT HEALTHCARE CENTER; INLAND VALLEY PARTNERS  LLC; MIRACLE MILE HEALTHCARE CENTER  LLC","Regional Chain or Consultant"
"BILL JONES","PRESIDENT & CEO",15,1,"MA","PILGRIM REHAB & SKILLED NURSING; WILLOWOOD OF GREAT BARRINGTON; CHARLENE MANOR EXTENDED CARE F; MOUNT GREYLOCK EXTENDED CARE F; EAST LONGMEADOW NURSING HOME","Regional Chain or Consultant"
"DAWN HARVEY PSARELLIS","SECRETARY",15,1,"LA","OUR LADY OF WISDOM COMMUNITY CARE CE; PONCHATOULA COMMUNITY CARE CENTER; CHATEAU DE NOTRE DAME COMM CARE; WYNHOVEN COMMUNITY CARE CENTER; NATCHITOCHES COMMUNITY CARE CENTER","Regional Chain or Consultant"
"JONATHAN LUSTBADER","CFO",14,4,"MD;NC;VA;WV","LYNN CARE CENTER; RANDOLPH GARDENS; EASTOVER NURSING; EASTLAND NURSING CNTR; ACCORDIUS HEALTH AT MONROE","Regional Chain or Consultant"
"CLINT DAVIS","CEO",14,2,"TN;WI","SEVIERVILLE HEALTH AND REHABILITATIO; WOOD VILLAGE; TRENTON HEALTH AND REHABILITATION; ELK RIVER H & NSG CNTR OF WINCHESTER; CELINA HEALTH AND REHABILITATION CEN","Regional Chain or Consultant"
"SUSAN STRAUSS","CEO",14,4,"AL;LA;NC;TN","FIVE OAKS REHABILITATION & CARE CTR; DECATUR HEALTH & REHAB; WOODLAND VILLAGE HEALTH CARE CENTER; ADAMS NURSING HOME; THE FOLSOM CENTER","Regional Chain or Consultant"
"JULIE PHAM","CFO",14,1,"CA","COASTAL VIEW HEALTHCARE CENTER; COMM. EXTENDED CARE HOSP-MONTCLAIR; LONG BEACH POST ACUTE; BEACHSIDE POST ACUTE; BELLFLOWER POST ACUTE LLC","Regional Chain or Consultant"
"CHRIS GREEN","TREASURER",14,1,"OH","OTTERBEIN ST MARYS; OTTERBEIN LEBANON; OTTERBEIN PORTAGE VALLEY; OTTERBEIN CRIDERSVILLE; AVALON BY OTTERBEIN - PERRYSBURG","Regional Chain or Consultant"
"KEVIN LA MARRE","VP ACCOUNTING",14,9,"AL;AZ;CO;FL;IL;KS;NC;OH;TX","PALMER RANCH HEALTHCARE & REHAB; WESTLAKE VILLAGE; BROOKDALE SANTA CATALINA; SKYLINE PINES CARE CENTER; HOLMGREEN HEALTH CENTER","Regional Chain or Consultant"
"BRUCE WERTHEIM","CEO",14,1,"GA","SOUTHLAND HEALTHCARE AND REHABILITAT; HAZLEHURST COURT CARE & REHAB; FOLKSTON PARK CARE & REHAB; BRYANT HEALTH AND REHABILITATION CEN; PROVIDENCE HEALTHCARE OF THOMASTON","Regional Chain or Consultant"
"SHAWN CONLEY","CFO",14,1,"TX","FOCUSED CARE AT ALLENBROOK; FOCUSED CARE AT WAXAHACHIE; FOCUSED CARE AT MOUNT PLEASANT; FOCUSED CARE AT CENTER; FOCUSED CARE AT GILMER","Regional Chain or Consultant"
"MARIA BORISEVICH","CHIEF FINANCIAL OFFICER",14,5,"CA;HI;OR;UT;WA","GRAYS HARBOR CARE CENTER; AVALON HEALTH & REHAB CENTER - PASCO; AVALON CARE CENTER - NORTHPOINTE; AVALON CARE CENTER-FEDERAL WAY  LLC; BENSON HEIGHTS REHABILITATION CENTER","Regional Chain or Consultant"
"JOHNNY THOMPSON","ADMINISTRATOR",14,1,"TX","WEST WHARTON HOSP DBA WEST HOUSTON; WEST WHARTON HOSP DBA ROLLINGBROOK; SUN VALLEY REHAB & HEALTHCARE CTR; CYPRESS CREEK REHAB AND HLTHCARE; PARK BEND","Regional Chain or Consultant"
"MELANIE OWENS","CHIEF FINANCIAL OFFICER",14,2,"KS;MO","SALINA PRESBYTERIAN MANOR; NEWTON PRESBYTERIAN MANOR; PARSONS PRESBYTERIAN MANOR; EMPORIA PRESBYTERIAN MANOR; LAWRENCE PRESBYTERIAN MANOR","Regional Chain or Consultant"
"AARON TOPPER","PRESIDENT",13,2,"IL;WI","INVERNESS HEALTH & REHAB; NORTHBROOK HEALTH AND REHAB; INVERNESS HEALTH & REHAB; CROSSROADS CARE  CTR. OF SUN PRAIRIE; CROSSROADS CARE CTR. OF KENOSHA","Regional Chain or Consultant"
"BILL STEPHAN","CFO",13,1,"MA","BRAINTREE MANOR HEALTHCARE; THE ELMHURST HEALTHCARE; WESTBOROUGH HEALTHCARE; PLYMOUTH HARBORSIDE HEALTHCARE; FALL RIVER HEALTHCARE","Regional Chain or Consultant"
"ELIZABETH MCLAREN","SVP - REV CYCLE  REIMB  AND HCBS",13,8,"CA;CT;FL;IL;MI;MN;NH;WA","COVENANT LIVING OF KEENE; COVENANT RETIREMENT COMMUNITIES WEST; PILGRIM MANOR; BRANDEL CARE CENTER; COVENANT VILLAGE OF THE GREAT LAKES","Regional Chain or Consultant"
"JOSEPH FRIEDMAN","MEMBER",13,1,"OH","PARK CENTER HEALTH & REHAB; RAE ANN SUBURBAN; RAE-ANN GENEVA; BEEGHLY OAKS CENTER FOR REHAB; MT AIRY GARDENS REHAB & NURSING","Regional Chain or Consultant"
"AVROHOM KRAVETZ","CEO",13,2,"OK;TX","BELL AVENUE NURSING; BEACON RIDGE; CROSS TIMBERS NURSING & REHAB; ARBOR VILLAGE NURSING & REHAB; LINWOOD VILLAGE","Regional Chain or Consultant"
"B.J. BERGERON","CFO",13,1,"TX","OAK VILLAGE HEALTHCARE LTC PARTNERS; COPPERAS COVE LTC PARTNERS  INC.; RIVER OAKS HEALTH AND REHAB CENTER; CLUTE LTC PARTNERS  INC.; CARTHAGE LTC PARTNERS  INC.","Regional Chain or Consultant"
"SUSAN ROSS","CHIEF OPERATING OFFICER",13,1,"MI","SOUTH HAVEN NURSING AND REHABILITATI; GLADWIN NURSING AND REHABILITATION; PLAINWELL PINES NURSING AND REHABILI; FAIRVIEW NURSING AND REHABILITATION; THE TIMBERS OF CASS COUNTY","Regional Chain or Consultant"
"NICK HARSHFIELD","SENIOR VICE PRESIDENT & CFO",13,6,"FL;IL;KS;MN;PA;TX","VILLAGE ON THE GREEN; BEACON HILL; CLARIDGE COURT; FRIENDSHIP VILLAGE OF BLOOMINGTON; FRIENDSHIP VILLAGE OF SOUTH HILLS","Regional Chain or Consultant"
"JONATHAN WARD","CONTROLLER",13,1,"IN","VERMILLION COVALESCENT CENTER; THE BELMONT HEALTH & REHABILITATION; ALEXANDRIA CARE CENTER; PINEKNOLL REHABILITATION CENTRE; WILLOWBEND LIVING CENTER","Regional Chain or Consultant"
"DEVORA KIRSCHNER","COO",12,2,"GA;TX","MCALLEN NURSING CENTER; LAGRANGE HEALTH AND REHAB; LUMBER CITY HEALTH AND REHAB; THOMASVILLE HEALTH AND REHAB; SAVANNAH BEACH HEALTH AND REHAB","Regional Chain or Consultant"
"MIKE MOSIER","CFO",12,2,"CT;RI","THE SUMMIT AT PLANTSVILLE; BAYVIEW HEALTH CARE CENTER; VALERIE MANOR HEALTH CARE CENTER; WADSWORTH GLEN HEALTH CARE CENTER; GLASTONBURY HEALTH CARE CENTER","Regional Chain or Consultant"
"HEIDI SHIMP-FAVA","CONTROLLER",12,5,"CT;GA;IN;NC;SC","EVERGREEN WOODS RETIREMENT LLC; STRATFORD RETIREMENT LLC; MARSHS EDGE LLC; HOMESTEAD HILL RETIREMENT L P; THE LAKES AT LITCHFIELD","Regional Chain or Consultant"
"NATE SILVERBERG","SENIOR VP",12,2,"MD;WV","COMPLETE CARE AT ANNAPOLIS  LLC; COMPLETE CARE AT WHEATON  LLC; COMPLETE CARE AT SPRINGBROOK  LLC; COMPLETE CARE AT MULTI MEDICAL CENTE; COMPLETE CARE AT CORSICA HILLS  LLC","Regional Chain or Consultant"
"CLARK SWOFFORD","CFO",12,2,"TX;UT","BEAVER VALLEY HOSPITAL (FOUR CORNERS; BEAVER VALLEY HOSPITAL (PARKDALE); BEAVER VALLEY HOSPITAL (SANDY); CASCADES AT GALVESTON REHAB; BEAVER VALLEY HOSPITAL (SO OGDEN)","Regional Chain or Consultant"
"JOSEPH ALESANTRINO","CFO",12,1,"VA","RIVER VIEW ON THE APPOMATTOX; LEE NURSING AND REHAB CTR; RADFORD HEALTH & REHAB CENTER; THE WOODLANDS HEALTH & REHAB CENTER; CHASE CITY HEALTH & REHAB CENTER","Regional Chain or Consultant"
"PAT IKERD","CFO",12,2,"CA;CO","DINUBA HEALTHCARE; SUNDANCE SKILLED NURSING & REHAB; THE GARDENS; PIONEER HEALTH CARE CENTER; GLENWOOD SPRINGS HEALTHCARE","Regional Chain or Consultant"
"JONATHAN MAMARY","VICE PRESIDENT",12,2,"MA;RI","ROYAL MEADOW VIEW CENTER; ROYAL WOOD MILL CENTER; ROYAL FAIRHAVEN NURSING AND REHAB; ROYAL OF WESTERLY NURSING CENTER; ROYAL MIDDLETOWN NURSING CENTER","Regional Chain or Consultant"
"JASON PARROTT","DIRECTOR OF FINANCE",12,1,"CA","SHIELDS SKILLED CARE LLC; CLOVIS SKILLED CARE LLC; BAYSHIRE RANCHO MIRAGE; REEDLEY SKILLED CARE LLC; EL CENTRO POST-ACUTE CARE","Regional Chain or Consultant"
"BRANDON MALANOWSKI","CHIEF FINANCIAL OFFICER",12,2,"OH;SC","ROSE LANE  INC.; SMITHVILLE-WESTERN CARE CENTER; MAIN STREET CARE CENTER; AMHERST MANOR; SPRENGER HEALTHCARE OF PORT ROYAL","Regional Chain or Consultant"
"DAVID KNAPIK","CONTROLLER",12,2,"OH;PA","LIBERTY HEATH CARE CENTER; OMNI MANOR NURSING HOME; GUARDIAN HEALTH CARE; OBRIEN MEMORIAL HEALTH CARE; DOYLESTOWN HEALTH CARE","Regional Chain or Consultant"
"KEN MARX","CHIEF FINANCIAL OFFICER",12,4,"GA;KS;MO;NE","DELMAR GARDENS OF SMYRNA; DELMAR GARDENS OF OVERLAND PARK; DELMAR GARDENS NORTH; DELMAR GARDENS OF OMAHA; DELMAR GARDENS ON THE GREEN","Regional Chain or Consultant"
"MICHAEL MOSIER","CFO",11,2,"CT;MA","NEWTOWN REHAB & HC CENTER; SHARON HEALTH CARE CENTER; MARLBOROUGH HILLS HEALTHCARE CENTER; SOUTHSHORE MA SNF LLC; HIGHVIEW OF NORTHAMPTON","Regional Chain or Consultant"
"ANDREW MCDONALD","CFO",11,5,"AZ;CA;ID;PA;WA","THE TERRACES OF BOISE; THE TERRACES OF PHOENIX; RYDAL PARK MEDICAL CENTER; THE TERRACES AT LOS ALTOS; PLYMOUTH VILLAGE","Regional Chain or Consultant"
"ANSHEL NIEDERMAN","MANAGER",11,1,"TN","FRANKLIN OPERATING GROUP  LLC; DECATUR OPERATING GROUP  LLC; CORDOVA OPERATING GROUP  LLC; WHITES CREEK OPERATING GROUP  LLC; ADAMSVILLE OPERATING GROUP  LLC","Regional Chain or Consultant"
"GEDALIAH WIELGUS","CFO",11,1,"PA","WECARE AT SYCAMORE REHABILITATION AN; WECARE AT ROLLING MEADOWS REHABILITA; SUGAR CREEK CARE CENTER; BURGH CARE CENTER; JAMESON NURSING AND REHAB CENTER","Regional Chain or Consultant"
"AVI MAIEROVITS","CONTROLLER",11,1,"NJ","ELMORA HILLS HEALTHCARE AND REHAB; TOWER LODGE CARE CTR; ATLANTIC COAST REHAB AND NRSG. CTR; HUNTERDON CARE CENTER; PARK CRESCENT HLTHCR AND REHAB CTR","Regional Chain or Consultant"
"DAN SHILLER","CFO",11,1,"OH","PARMA CARE CENTER; AVENUE CARE & REHAB CENTER; AVENUE AT MEDINA; AVENUE AT MACEDONIA; AVENUE AT WOOSTER","Regional Chain or Consultant"
"JOSHUA BASCH","CFO",11,1,"NC","GREENS AT HICKORY; GREENS AT HENDERSONVILLE; GREENS AT MAPLE LEAF; GREENS AT CABARRUS; GREENS AT VIEWMONT","Regional Chain or Consultant"
"MARK SPRENGER","EVP/CIO",11,1,"OH","ARCADIA VALLEY NURSING CENTER; AUTUMN HILLS CARE CENTER; VISTA CENTER AT THE RIDGE; MONARCH MEADOWS NURSING & REHAB; CRESTWOOD RIDGE SKILLED NURSING","Regional Chain or Consultant"
"ROBERT STILLMAN","CHIEF FINANCIAL OFFICER",11,1,"OH","OHIO LIVING QUAKER HEIGHTS; OHIO LIVING SARAH MOORE; OHIO LIVING CAPE MAY; OHIO LIVING ROCKYNOL; OHIO LIVING MOUNT PLEASANT","Regional Chain or Consultant"
"CHAD SNEED","CHIEF FINANCIAL OFFICER",11,3,"IL;MO;PA","LUTHERAN HOME AT TOPTON; BUFFALO VALLEY LUTHERAN VILLAGE; LUTHER CREST NURSING FACILITY; CUMBERLAND CROSSINGS; LUTHERAN HILLSIDE VILLAGE PEORIA","Regional Chain or Consultant"
"CATERINA MINA LABELLA","CFO",11,2,"FL;MA","VENICE REHAB CENTER; NAPLES REHAB CTR; ADVINIACARE NEWTON WELLESLEY LLC; NORTHBRIDGE REHAB CENTER; ADVINIACARE NEWBURYPORT","Regional Chain or Consultant"
"CRAIG FLANAGAN","CFO",11,2,"IA;IL","ILLINI RESTORATIVE CARE CENTER; WESLEY - THE VILLAGE; WESLEY - HALCYON HOUSE; WESLEY - WESLEY ACRES; WESLEY - PARK CENTRE","Regional Chain or Consultant"
"DAVID PERLOW","CFO",11,1,"MO","GOLDEN YEARS CENTER FOR REHAB AND HE; CASSVILLE HEALTHCARE AND REHAB; COUNTRY AIRE RETIREMENT ESTATES; GEORGIAN GARDENS CENTER FOR REHAB AN; BIG SPRING CARE CENTER FOR REHAB AN","Regional Chain or Consultant"
"TERRI CONTRERAS","CFO",11,1,"TX","UVALDE DBA KINGWOOD; UVALDE DBA RIDGEWOOD AT WOODLANDS; UVALDE DBA DRIPPING SPRINGS; UVALDE DBA SAN ANGELO; UVALDE HOSP DIST DBA LLANO","Regional Chain or Consultant"
"BRIAN MURRAY","CFO",11,1,"UT","MONUMENT HEALTHCARE CANYON RIM; MONUMENT HEALTHCARE PIONEER TRAIL; MONUMENT HEALTHCARE RICHFIELD; MONUMENT HEALTHCARE TAYLORSVILLE; MONUMENT HEALTHCARE COTTONWOOD CREEK","Regional Chain or Consultant"
"MIKE REAGAN","VP OF FINANCE",10,2,"CA;NV","THE REHABILITATION CENTER OF NORTH H; THE REHABILITATION CENTER OF LOS ANG; THOUSAND OAKS HEALTH CARE CENTER; PREMIER HEALTH & REHAB CTR LAS VEGAS; THE CARE CENTER ON HAZELTINE","Regional Chain or Consultant"
"CODY LONG","CHIEF FINANCIAL OFFICER",10,2,"AR;MO","WEBB CITY HEALTH AND REHAB CENTER; JOPLIN HEALTH AND REHAB CENTER; SPRINGDALE HEALTH AND REHAB CENTER; LEGACY HEALTH & REHAB CENTER; PARIS HEALTH AND REHAB CENTER","Regional Chain or Consultant"
"JOE BLACHORSKY","CFO",10,3,"GA;NJ;SC","RUNNELLS SPECIALIZED HOSPITAL; GATEWAY CARE CENTER; COOPER CENTER FOR REHAB AND HEALTH; THE PALACE REHAB. & CARE CTR; ROSE MOUNTAIN CARE CTR","Regional Chain or Consultant"
"LYNNE G PLACE","VP OF FINANCE",10,3,"FL;NC;NY","NEWFANE OPERATIONS LLC; SAIL OPERATIONS LLC; HENDERSON SCH OPERATIONS; LAKE PARK OPERATIONS LLC; DURHAM OPERATIONS LC","Regional Chain or Consultant"
"DAVID ALT","CFO",10,1,"PA","PLEASANT ACRES NURSING AND REHAB; MEADOWVIEW REHAB & NURSING CENTER; CHESTNUT HILL LODGE HEALTH & REHAB; SUNNYVIEW NURSING & REHABILITATION C; WYOMISSING HEALTH AND REHABILITAION","Regional Chain or Consultant"
"ANDREW WOLAK","COO",10,1,"PA","LAKEWOOD REHAB & HEALTHCARE CENTER; MAPLE RIDGE REHABILITATION & HEALTHC; OAK RIDGE REHABILIATION & HEALTHCARE; MEADOW VIEW REHABILITATION & HEALTHC; MOUNTAIN TOP REHAB & HEALTHCARE CENT","Regional Chain or Consultant"
"SETH FEIN","CFO",10,1,"AL","ARABELLA HEALTH & WELLNESS OF RUSSEL; OAK CREST HEALTH & WELLNESS; ARABELLA HEALTH & WELLNESS OF SELMA; ARABELLA HEALTH & WELLNESS OF MOBILE; ARABELLA HEALTH & WELLNESS OF BUTLER","Regional Chain or Consultant"
"DYAN MCALISTER","SENIOR VP/CFO",10,3,"DE;MD;PA","WESTMINSTER VILLAGE/DOVER; GLEN MEADOWS RETIREMENT COMMUNITY; KIRKLAND VILLAGE; WESTMINSTER WOODS AT HUNTINGDON; PRESBYTERIAN HOMES-HOLLIDAYSBURG","Regional Chain or Consultant"
"ARON PLEYSIER","VP OF FINANCE",10,1,"FL","AVANTE AT OCALA; AVANTE AT LEESBURG; AVANTE AT INVERNESS; AVANTE AT ORMOND BEACH; AVANTE AT MT. DORA","Regional Chain or Consultant"
"MARC JOHNSON","CFO",10,1,"CA","FIRESIDE COVALESCENT HOSPITAL; LINCOLN SQUARE POST ACUTE REHAB; TERRACE VIEW CARE CENTER; RIVERSIDE CARE INC; APPLE VALLEY POST-ACUTE REHAB","Regional Chain or Consultant"
"JACK SANOFSKY","MANAGING PARTNER",10,1,"CA","WOODSIDE HEALTHCARE CENTER; SHERWOOD HEALTHCARE CENTER; MANZANITA HEALTHCARE CENTER; FAIR OAKS HEALTHCARE CENTER; PIONEER HOUSE","Regional Chain or Consultant"
"JOSH BERKOWITZ","CFO",10,1,"IL","SHERIDAN VILLAGE; KENSINGTON PLACE NURSING & REHAB; HICKORY VILLAGE NURSING & REHAB; TRI STATE VILLAGE NURSING & REHAB; ALL AMERICAN VILLAGE NURSING & REHAB","Regional Chain or Consultant"
"ELI SINNREICH","CFO",10,1,"NE","THE MEADOWS AT ASHLAND; THE MULBERRY AT WAVERLY; THE BIRCH AT SUTHERLAND; PINES AT BLUE HILL LLC; THE WILLOWS AT GRETNA","Regional Chain or Consultant"
"AMANDA FRANK","DIRECTOR OF REVENUE CYCLE",10,1,"OH","WHETSTONE CARE CENTER; ABBYSHIRE PLACE NURSING & REHAB CENT; NEW ALBANY; THE GRAND; CANAL WINCHESTER CARE CENTER","Regional Chain or Consultant"
"TRAVIS THOMPSON","SENIOR ACCOUNTING DIRECTOR",10,3,"ID;MO;UT","SUNTERRA SPRINGS INDEPENDENCE; PARKWAY HEALTH CENTER; RIVERVIEW REHABILITATION; RMC - LOGAN; RMC - COTTAGE ON VINE","Regional Chain or Consultant"
"CODY FULKS","CFO",10,2,"KS;MO","ROLLING HILLS HEALTH CENTER  INC.; STONEYBROOK RETIREMENT COMMUNITY; PIONEER RIDGE RETIRMENT COMMUNITY; TWIN OAKS HEALTH AND REHAB; WESTERN PRAIRIE SENIOR LIVING","Regional Chain or Consultant"
"JAMES SCHMIDLIN","PRESIDENT",9,1,"NC","ADAMS FARM LIVING & REABILITATION; CRYSTAL BLUFFS HEALTH & REHAB; CHATHAM NURSING & REHABILITATION; WHISPERING PINES NURSING HOME; HAYMOUNT REHAB & NURSING CENTER","Regional Chain or Consultant"
"KIRBY NICKERSON","CFO",9,1,"NC","ASTON PARK HEALTH CARE CENTER  INC.; TRINITY PLACE; TRINITY OAKS; TRINITY GROVE; TRINITY ELMS","Regional Chain or Consultant"
"GREG SANCHEZ","CFO",9,2,"LA;TX","WINDSOR GARDENS; CRESTVIEW COURT; PALOMINO PLACE; ST. JOSEPH CONTINUING CARE CENTER; BEACON HILL","Regional Chain or Consultant"
"EDDIE REARDON","VP FINANCE",9,2,"OK;TX","LEGACY AT TOWN CREEK; HERITAGE AT BRANDON PLACE; WILLOW PARK HEALTHCARE CTR; NORTHWEST NURSING CENTER; TUTTLE CARE CENTER","Regional Chain or Consultant"
"DANIEL CURRY","EVP & CFO",9,1,"IL","ST. CLARAS MANOR  INC.; VILLA HEALTH CARE EAST; HENRY & JANE VONDERLIETH LIVING CTR; HOOPESTON RETIREMENT VILLAGE FOUNDAT; MASON CITY AREA NURSING HOME","Regional Chain or Consultant"
"DAVID FRIEDMAN","MEMBER",9,1,"CA","SHERMAN VILLAGE HEALTH CARE CENTER; PARK ANAHEIM HEALTHCARE CENTER; CHINO VALLEY HEALTH CARE CENTER; CERRITOS VISTA HEALTHCARE CENTER; EASTLAND SUBACUTE AND REHAB CENTER","Regional Chain or Consultant"
"ROBERT DECKER","FINANCIAL CONTROLLER",9,1,"CA","VISTA POST ACUTE; CASA COLOMA HEALTH CARE CENTER; KATHERINE HEALTHCARE; FOREST HILL MANOR HEALTH CENTER; HEARTWOOD AVENUE HEALTHCARE","Regional Chain or Consultant"
"EDISON ONG","CFO",9,2,"CO;KS","WINFIELD SENIOR LIVING CENTER; PROGRESSIVE CARE CENTER; THE PAVILION AT VILLA PUEBLO; THE PEAKS CARE CENTER; GRACE MANOR CARE CENTER","Regional Chain or Consultant"
"CHAIM MANDELBAUM","OPERATOR",9,1,"MO","ST JOSEPH SENIOR LIVING; RIVERBEND HEIGHTS HEALTH & REHAB; MEADOW VIEW HEALTH & REHABILITATION; VALLEY VIEW HEALTH & REHABILITATION; PARKDALE MANOR CARE CENTER","Regional Chain or Consultant"
"CLARK SANDERSON","BOARD PRESIDENT",9,1,"TX","FANNIN DBA THE MEADOWS N&R; FANNIN DBA DALLAS II; FANNIN DBA WALNUT SPRINGS H&R; HOLIDAY N&R - SUMMIT CENTER; LA DORA NURSING & REHAB CENTER","Regional Chain or Consultant"
